".model",".type","ME","RMSE","MAE","MPE","MAPE","MASE","RMSSE","ACF1"
"prophet_all","Test",-1.19505463348975,2.75867539273884,1.98044114570172,-6.31007923672546,10.3542829323756,NA,NA,0.838697005248061
"prophet_h_p","Test",-1.06248740291772,2.67683394961079,1.93917526047023,-5.68581764526786,10.1294922170143,NA,NA,0.835796786963496
"prophet_h_w","Test",-1.19359115414269,2.75543417164641,1.97596974901301,-6.29892128098405,10.3313999568954,NA,NA,0.839455052808138
"prophet_humi","Test",-1.12851767443187,2.70688926892521,1.95857087038142,-6.01873890452896,10.2375214504146,NA,NA,0.836720906209026
"prophet_no_pred","Test",-0.0454200802798314,2.29515514768141,1.81920829569912,-1.13767950423759,9.31430287074018,NA,NA,0.757116669001876
"prophet_pressure","Test",0.0501754530960651,2.28619379646477,1.81786353549434,-0.667706130054595,9.26030975120112,NA,NA,0.752422718218237
"prophet_w_p","Test",0.00353255741458279,2.27166342027876,1.80684070706622,-0.909124429742035,9.2298657241362,NA,NA,0.750546570960518
"prophet_wind","Test",-0.034331392166149,2.27192696938359,1.80622222967323,-1.09509212226897,9.24587479915943,NA,NA,0.751552671253602
